Establishment,Address,City,Inspection Date,Priority Violations,Priority Foundation Violations,Core Violations
HUNTER HOUSE ANN ARBOR INC,609 E WILLIAMS,ANN ARBOR,03/02/2015,1,1,3
HURON HIGH SCHOOL CAFETERIA,2727 FULLER ROAD,ANN ARBOR,03/17/2015,0,0,2
ICHIBAN JAPANESE STEAK HOUSE & SUSHI BAR,4641 WASHTENAW AVE,ANN ARBOR,03/23/2015,2,4,3
INSOMNIA COOKIES,733 W CROSS ST,YPSILANTI,03/24/2015,0,0,2
JET'S PIZZA,7011 DEXTER-ANN ARBOR RD,DEXTER,03/04/2015,1,1,3
JETS PIZZA OF CHELSEA,506 NORTH MAIN ST,CHELSEA,03/02/2015,1,3,7
JIMMY JOHN'S,1207 S. UNIVERSITY,ANN ARBOR,03/12/2015,4,1,4
JIMMY JOHNS GOURMET SANDWICHES,537 W. CROSS ST.,YPSILANTI,03/13/2015,3,1,4
JOLLY PUMPKIN CAFE & BREWERY,311 S. MAIN ST.,ANN ARBOR,03/03/2015,1,1,6
KAI GARDEN,116 S. MAIN STREET,ANN ARBOR,03/13/2015,3,0,3
